Business Name,Category,SIC Code,SIC description,NAICS Code,NAICS description,City,State,Zip Code,Est. Annual Revenue,Est. Company Size
Holien Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Watertown,SD,57201,$$,Medium
Schaffner Mtc Transformers,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Wytheville,VA,24382,$$,Medium
Fairfield Manufacturing Co Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Lafayette,IN,47905,$$,Large
"GE Grid Solutions, LLC",Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Atlanta,GA,30339,$$,Large
ABB,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Bland,VA,24315,$$,Medium
Ermco,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Dyersburg,TN,38024,$$,Medium
Weasler Engineering Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",West Bend,WI,53090,$$,Medium
Pennsylvania Transformer Technology Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Canonsburg,PA,15317,$$,Medium
Siemens Power Transmission And Distribution,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Richland,MS,39218,$$,Medium
Siemens,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Trenton,NJ,08638,$$,Medium
Foote Jones,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Aberdeen,SD,57401,$$,Medium
Sure Power Industries Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Tualatin,OR,97062,$$,Medium
Fujitsu America,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Colleyville,TX,76034,$$,Medium
Azz Galvanizing,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Richland,MS,39218,$$,Medium
"Raven Power Operating, LLC",Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Middle River,MD,21220,$$,Medium
ABB Equity Ventures,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Princeton,NJ,08540,$$,Medium
Power Quality International,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Goshen,NY,10924,$$,Medium
Seldat,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Dayton,NJ,08810,$$,Medium
Jayvee Distributors,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Farmingdale,NY,11735,$$,Medium
Davis Mead Fulfillment Services,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Maywood,NJ,07607,$$,Medium
Schneider Electric USA Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Bohemia,NY,11716,$$,Medium
AA Best Bread,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Brooklyn,NY,11231,$$,Medium
Q&L Sample Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",New York,NY,10018,$$,Medium
Money Or Honey,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Monsey,NY,10952,$$,Medium
Sharp Point Services Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Farmingdale,NY,11735,$$,Medium
Jersey Central Power and Light Co,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Lakewood,NJ,08701,$$,Medium
"Champs Technologies, LLC",Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",New York,NY,10010,$$,Medium
Explorer Capital,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",New York,NY,10032,$$,Medium
George Gruenthal,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",New York,NY,10027,$$,Medium
Coil Q Corpp,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Bronxville,NY,10708,$$,Medium
BJM Distrubution,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Brooklyn,NY,11236,$$,Medium
Nilsson Electrical Laboratory Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Jersey City,NJ,07305,$$,Medium
Dml Distributers,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Brooklyn,NY,11214,$$,Medium
Ram Transformer Technologies Corp,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",New Rochelle,NY,10801,$$,Medium
Data Device Corp,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Bohemia,NY,11716,$$,Medium
Damaris Corp,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Hempstead,NY,11550,$$,Medium
Bel Transformer Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Inwood,NY,11096,$$,Medium
Torres Nellie,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Brooklyn,NY,11222,$$,Medium
Q Tran Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Bridgeport,CT,06610,$$,Medium
Cinram Group Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Pleasanton,CA,94588,$$,Medium
Universal Power Systems,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Chantilly,VA,20151,$$,Medium
"Tandre Technologies, LLC",Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Alexandria,VA,22309,$$,Medium
Little Bruce International Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Hawthorne,CA,90250,$$,Medium
Power Distribution Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Santa Ana,CA,92704,$$,Medium
Power And Control Systems Inc,Top Company,3612,"Power, Distribution, and Specialty Transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",Cypress,CA,90630,$$,Medium
